Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn00623_c	1	PN9614960	8	1
R_rxn01199_c	1	PN9622075	2	1
R_rxn00914_c	1	PN9607825	2	1
R_rxn00914_c	2	PN9620835	2	1
R_rxn03422_c	1	PN9614630	1	1
R_rxn10253_c	1	PN9612395	1	0
R_rxn10253_c	2	PN9617840	1	0
R_rxn00506_c	1	PN9605305	2	1
R_rxn00506_c	2	PN9608640	2	1
R_rxn00506_c	3	PN9615085	2	1
R_rxn08975_c	1	PN9608560	1	1
R_rxn02504_c	1	PN9611430	8	1
R_rxn11944_c	1	PN9603850	1	1
R_rxn11944_c	2	PN9619000	1	1
R_rxn08783_c	1	PN9616785	1	1
R_rxn08783_c	2	PN9620240	1	1
R_rxn04938_c	1	PN9616515	1	0
R_rxn04938_c	2	PN9621720	1	0
R_rxn00950_c	1	PN9607605	4	1
R_rxn00950_c	2	PN9622110	4	1
R_rxn10222_c	1	PN9602285	2	0
R_rxn06444_c	1	PN9607160	2	1
R_rxn06444_c	1	PN9607155	2	1
R_rxn01208_c	1	PN9611600	2	1
R_rxn10199_c	1	PN9601420	1	0
R_rxn10199_c	2	PN9614825	1	0
R_rxn10199_c	3	PN9618465	1	0
R_rxn06437_c	1	PN9601400	1	1
R_rxn03061_c	1	PN9601430	1	1
R_rxn01800_c	1	PN9607105	2	1
R_rxn02303_c	1	PN9613585	2	1
R_rxn00085_c	1	PN9611095	2	1
R_rxn00085_c	1	PN9611100	2	1
R_rxn00085_c	2	PN9611105	2	1
R_rxn00085_c	2	PN9611110	2	1
R_rxn00085_c	3	PN9611095	2	1
R_rxn00085_c	3	PN9619960	2	1
R_rxn00085_c	4	PN9611105	2	1
R_rxn00085_c	4	PN9602395	2	1
R_rxn00503_c	1	PN9616180	2	1
R_rxn00503_c	2	PN9619485	2	1
R_rxn12008_c	1	PN9611685	1	1
R_rxn00022_c	1	PN9603390	1	1
R_rxn20289_c	1	PN9619185	2	0
R_rxn20289_c	1	PN9619190	2	0
R_rxn20289_c	1	PN9619195	2	0
R_rxn00313_c	1	PN9613880	2	1
