Reaction;Protein;Stoichiometry;Subunit;Notes;RHEA_ID;Equation;KEGG
R09838;WP_020334268.1;3;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334268.1;3;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334269.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334269.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334269.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334269.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334269.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334270.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334270.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334270.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334270.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334270.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334272.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334272.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334272.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334272.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334272.1;1;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09839;WP_020334275.1;1;;;34802;2,3-didehydroadipoyl-CoA+acetyl-CoA<=>3-oxo-5,6-didehydrosuberyl-CoA+CoA;CoA + 3-Oxo-5,6-dehydrosuberyl-CoA -> Acetyl-CoA + 5-Carboxy-2-pentenoyl-CoA
R09839;WP_061778630.1;1;;;34802;2,3-didehydroadipoyl-CoA+acetyl-CoA<=>3-oxo-5,6-didehydrosuberyl-CoA+CoA;CoA + 3-Oxo-5,6-dehydrosuberyl-CoA -> Acetyl-CoA + 5-Carboxy-2-pentenoyl-CoA
R09840;WP_020334277.1;4;;;70430;phenylacetyl-CoA+H2O<=>2-phenylacetate+CoA+H(+);Phenylacetyl-CoA + H2O -> CoA + Phenylacetic acid
R09942;WP_024372752.1;1;;;32530;N,N'-diacetylchitobiose+phosphate<=>N-acetyl-alpha-D-glucosamine1-phosphate+N-acetyl-D-glucosamine;Orthophosphate + Chitobiose <-> N-Acetyl-D-glucosamine + N-Acetyl-alpha-D-glucosamine 1-phosphate
R09959;WP_014232353.1;1;;;27969;7,8-dihydroneopterin3'-triphosphate+H2O<=>6-carboxy-5,6,7,8-tetrahydropterin+triphosphate+acetaldehyde+2H(+);7,8-Dihydroneopterin 3'-triphosphate + H2O -> 6-Carboxy-5,6,7,8-tetrahydropterin + Acetaldehyde + Triphosphate
R09977;Missing;1;;;31462;2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethylphosphate<=>2-(2-carboxy-4-methylthiazol-5-yl)ethylphosphate;2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate -> 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
R09978;WP_014231919.1;1;;;27985;7-carboxy-7-deazaguanine+NH4(+)+ATP<=>7-cyano-7-deazaguanine+ADP+phosphate+H2O+H(+);Ammonia + 7-Carboxy-7-carbaguanine + ATP -> 7-Cyano-7-carbaguanine + ADP + Orthophosphate + H2O
R09993;WP_014233504.1;1;;;31802;4-amino-5-aminomethyl-2-methylpyrimidine+H2O<=>4-amino-5-hydroxymethyl-2-methylpyrimidine+NH4(+);4-Amino-5-aminomethyl-2-methylpyrimidine + H2O <- 4-Amino-5-hydroxymethyl-2-methylpyrimidine + Ammonia
R10002;WP_020336322.1;2;;;27977;6-carboxy-5,6,7,8-tetrahydropterin+H(+)<=>7-carboxy-7-deazaguanine+NH4(+);6-Carboxy-5,6,7,8-tetrahydropterin -> Ammonia + 7-Carboxy-7-carbaguanine
R10052;WP_020335844.1;2;;;32274;(2R,3S)-3-isopropylmalate+NAD(+)<=>4-methyl-2-oxopentanoate+CO2+NADH;NAD+ + (2R,3S)-3-Isopropylmalate <-> 4-Methyl-2-oxopentanoate + CO2 + H+ + NADH
R10092;WP_014232941.1;2;;;10751;hydrogencarbonate+H(+)<=>CO2+H2O;HCO3- + H+ <- CO2 + H2O
R10092;WP_014232941.1;2;;;10751;hydrogencarbonate+H(+)<=>CO2+H2O;HCO3- + H+ <- CO2 + H2O
R10092;WP_020333437.1;2;;;10751;hydrogencarbonate+H(+)<=>CO2+H2O;HCO3- + H+ <- CO2 + H2O
R10092;WP_020333437.1;2;;;10751;hydrogencarbonate+H(+)<=>CO2+H2O;HCO3- + H+ <- CO2 + H2O
R10115;WP_014232616.1;1;;;55040;(9Z)-hexadecenoyl-[ACP]+malonyl-[ACP]+H(+)=3-oxo-(11Z)-octadecenoyl-[ACP]+holo-[ACP]+CO2;Malonyl-[acyl-carrier protein] + Malonyl-[acp] methyl ester <-> CO2 + 3-Ketoglutaryl-[acp] methyl ester + Acyl-carrier protein
R10115;WP_014232490.1;1;;;55040;(9Z)-hexadecenoyl-[ACP]+malonyl-[ACP]+H(+)=3-oxo-(11Z)-octadecenoyl-[ACP]+holo-[ACP]+CO2;Malonyl-[acyl-carrier protein] + Malonyl-[acp] methyl ester <-> CO2 + 3-Ketoglutaryl-[acp] methyl ester + Acyl-carrier protein
R10116;WP_024372813.1;4;;;17397;a(3R)-hydroxyacyl-[ACP]+NADP(+)=a3-oxoacyl-[ACP]+NADPH+H(+);3-Ketoglutaryl-[acp] methyl ester + H+ + NADPH <-> NADP+ + 3-Hydroxyglutaryl-[acp] methyl ester
R10116;WP_014233729.1;4;;;17397;a(3R)-hydroxyacyl-[ACP]+NADP(+)=a3-oxoacyl-[ACP]+NADPH+H(+);3-Ketoglutaryl-[acp] methyl ester + H+ + NADPH <-> NADP+ + 3-Hydroxyglutaryl-[acp] methyl ester
R10116;WP_014233979.1;4;;;17397;a(3R)-hydroxyacyl-[ACP]+NADP(+)=a3-oxoacyl-[ACP]+NADPH+H(+);3-Ketoglutaryl-[acp] methyl ester + H+ + NADPH <-> NADP+ + 3-Hydroxyglutaryl-[acp] methyl ester
