Reaction	Condition	LB	UB	RID	System	Name	Flux
ANA3_v33	Succinate	-1.869070276127788	16.95830318626408	18617	MISC	PPCK	6.091843772781296
ANA3_v33	Alanine	0.6270539765264175	4.621620660298216	18617	MISC	PPCK	1.8351291885554646
mu1	Ribose	0.8252201325277754	1.0629089323256067	BIOMASS	pseudo	biomass	0.9526971084057131
mu1	Glucose	1.680867029116567	1.7276385691985	BIOMASS	pseudo	biomass	1.7031740922106902
mu1	Glycerol	0.6130503499358313	0.6872953898533761	BIOMASS	pseudo	biomass	0.6509454946566825
mu1	Glutamate	0.7698734913032763	0.7994629899048221	BIOMASS	pseudo	biomass	0.790121468476552
mu1	Succinate	1.1895064943630294	1.2176798226802077	BIOMASS	pseudo	biomass	1.2030152789971356
mu1	Alanine	0.9114550929867745	0.9684568593938302	BIOMASS	pseudo	biomass	0.9467295325898097
PPP5_v13	Ribose	-39.70319443110365	-15.14893259436822	10508	PPP	TKT1	-25.983274198741377
PPP5_v13	Glucose	-1.3248344353384331	-0.9151511972579273	10508	PPP	TKT1	-1.0863657648579135
PPP5_v13	Glycerol	0.19393887821247588	0.3921290987136032	10508	PPP	TKT1	0.2891741782155458
PPP5_v13	Glutamate	-8.74004878493405	-6.937900705967459	10508	PPP	TKT1	-7.670879305194603
PPP5_v13	Succinate	0.8175035654679514	0.9417115965424525	10508	PPP	TKT1	0.882484839018617
PPP5_v13	Alanine	0.2651026305936234	0.4558705157984085	10508	PPP	TKT1	0.3848125761889986
PPP9_v17	Ribose	7.711980028508417	19.95830873541475	17053	PPP	TALA	13.122156603222265
PPP9_v17	Glucose	0.6910996290084652	0.894916226691946	17053	PPP	TALA	0.7765177330618496
PPP9_v17	Glycerol	-0.106222062938575	-0.008986191152289201	17053	PPP	TALA	-0.05540755633980385
PPP9_v17	Glutamate	3.5777283530709236	4.476227352020583	17053	PPP	TALA	3.943686293778621
PPP9_v17	Succinate	-0.3060035875198651	-0.244441449675905	17053	PPP	TALA	-0.27642932628668443
