rhea,kegg
11021,R03433
11022,R03433
11023,R03433
11024,R00141
11025,R00141
11026,R00141
11027,R00141
11028,R01326
11029,R01326
11030,R01326
11031,R01326
22740,R02848
22741,R02848
22742,R02848
22743,R02848
11032,R04259
11033,R04259
11034,R04259
11035,R04259
11040,R03457
11041,R03457
11042,R03457
11043,R03457
11044,R02336
11045,R02336
11046,R02336
11047,R02336
11048,R04722
11049,R04722
11050,R04722
11051,R04722
11052,R02561
11053,R02561
11054,R02561
11055,R02561
11056,R02562
11057,R02562
11058,R02562
11059,R02562
11060,R03656
11061,R03656
11062,R03656
11063,R03656
11064,R00762
11065,R00762
11066,R00762
11067,R00762
11068,R04503
11069,R04503
11070,R04503
11071,R04503
11072,R00825
11073,R00825
11074,R00825
11075,R00825
11076,R00823
11077,R00823
11078,R00823
11079,R00823
11080,R01569
11081,R01569
11082,R01569
11083,R01569
36167,R10776
36168,R10776
36169,R10776
36170,R10776
11084,R01905
11085,R01905
11086,R01905
11087,R01905
11088,R02504
11089,R02504
11090,R02504
11091,R02504
11092,R00842
11093,R00842
11094,R00842
11095,R00842
11096,R00844
11097,R00844
11098,R00844
11099,R00844
11100,R00038
11101,R00038
11102,R00038
11103,R00038
11104,R04436
11105,R04436
11106,R04436
11107,R04436
11108,R02181
11109,R02181
11110,R02181
11111,R02181
11112,R03037
11113,R03037
11114,R03037
11115,R03037
11116,R03910
11117,R03910
11118,R03910
11119,R03910
11120,R07315
11121,R07315
11122,R07315
11123,R07315
11128,R01613
11129,R01613
11130,R01613
11131,R01613
11132,R03845
11133,R03845
11134,R03845
11135,R03845
11140,R01818
11141,R01818
11142,R01818
11143,R01818
11148,R00078
11149,R00078
11150,R00078
11151,R00078
11152,R04570
11153,R04570
11154,R04570
11155,R04570
11156,R01212
11157,R01212
11158,R01212
11159,R01212
74179,R13022
74180,R13022
74181,R13022
74182,R13022
11160,R06977
11161,R06977
11162,R06977
11163,R06977
11164,R02056
11165,R02056
11166,R02056
11167,R02056
11168,R05305
11169,R05305
11170,R05305
11171,R05305
11172,R00946
11173,R00946
11174,R00946
11175,R00946
11176,R07264
11177,R07264
11178,R07264
11179,R07264
11180,R03648
11181,R03648
11182,R03648
11183,R03648
18349,R03647
18350,R03647
18351,R03647
18352,R03647
18349,R05577
18350,R05577
18351,R05577
18352,R05577
11184,R00905
11185,R00905
11186,R00905
11187,R00905
11188,R00486
11189,R00486
11190,R00486
11191,R00486
21724,R00540
21725,R00540
21726,R00540
21727,R00540
11192,R03830
11193,R03830
11194,R03830
11195,R03830
11196,R04148
11197,R04148
11198,R04148
11199,R04148
11204,R04582
11205,R04582
11206,R04582
11207,R04582
11212,R02338
11213,R02338
11214,R02338
11215,R02338
11216,R04267
11217,R04267
