ec,rhea
1.2.1.71,10815
3.2.1.63,10816
3.2.1.63,10817
3.2.1.63,10818
3.2.1.63,10819
5.1.2.6,10820
5.1.2.6,10821
5.1.2.6,10822
5.1.2.6,10823
1.1.1.299,10824
1.1.1.299,10825
1.1.1.299,10826
1.1.1.299,10827
1.1.1.299,21432
1.1.1.299,21433
1.1.1.299,21434
1.1.1.299,21435
1.1.1.82,10824
1.1.1.82,10825
1.1.1.82,10826
1.1.1.82,10827
6.2.1.32,10828
6.2.1.32,10829
6.2.1.32,10830
6.2.1.32,10831
3.1.4.50,10832
3.1.4.50,10833
3.1.4.50,10834
3.1.4.50,10835
1.14.13.43,10836
1.14.13.43,10837
1.14.13.43,10838
1.14.13.43,10839
4.2.3.1,10840
4.2.3.1,10841
4.2.3.1,10842
4.2.3.1,10843
2.6.1.31,10844
2.6.1.31,10845
2.6.1.31,10846
2.6.1.31,10847
7.4.2.7,10848
7.4.2.7,10849
7.4.2.7,10850
7.4.2.7,10851
2.5.1.71,10852
2.5.1.71,10853
2.5.1.71,10854
2.5.1.71,10855
2.4.1.47,10856
2.4.1.47,10857
2.4.1.47,10858
2.4.1.47,10859
2.4.1.47,13093
2.4.1.47,13094
2.4.1.47,13095
2.4.1.47,13096
1.14.13.242,10860
1.14.13.242,10861
1.14.13.242,10862
1.14.13.242,10863
1.14.13.242,10864
1.14.13.242,10865
1.14.13.242,10866
1.14.13.242,10867
2.3.1.20,10868
2.3.1.20,10869
2.3.1.20,10870
2.3.1.20,10871
3.5.1.15,10872
3.5.1.15,10873
3.5.1.15,10874
3.5.1.15,10875
4.1.1.61,10876
4.1.1.61,10877
4.1.1.61,10878
4.1.1.61,10879
3.2.2.25,10880
3.2.2.25,10881
3.2.2.25,10882
3.2.2.25,10883
4.1.2.33,10884
4.1.2.33,10885
4.1.2.33,10886
4.1.2.33,10887
3.1.1.36,10896
3.1.1.36,10897
3.1.1.36,10898
3.1.1.36,10899
2.6.1.60,10900
2.6.1.60,10901
2.6.1.60,10902
2.6.1.60,10903
1.3.99.36,10904
1.3.99.36,10905
1.3.99.36,10906
1.3.99.36,10907
2.8.2.14,10908
2.8.2.14,10909
2.8.2.14,10910
2.8.2.14,10911
2.8.2.14,14013
2.8.2.14,14014
2.8.2.14,14015
2.8.2.14,14016
6.3.2.1,10912
6.3.2.1,10913
6.3.2.1,10914
6.3.2.1,10915
5.2.1.10,10924
5.2.1.10,10925
5.2.1.10,10926
5.2.1.10,10927
6.3.4.5,10932
6.3.4.5,10933
6.3.4.5,10934
6.3.4.5,10935
1.8.5.2,10936
1.8.5.2,10937
1.8.5.2,10938
1.8.5.2,10939
4.2.3.20,10940
4.2.3.20,10941
4.2.3.20,10942
4.2.3.20,10943
3.1.3.96,10944
3.1.3.96,10945
3.1.3.96,10946
3.1.3.96,10947
2.7.1.1,10948
2.7.1.1,10949
2.7.1.1,10950
2.7.1.1,10951
2.7.1.1,11028
2.7.1.1,11029
2.7.1.1,11030
2.7.1.1,11031
2.7.1.1,22740
2.7.1.1,22741
2.7.1.1,22742
2.7.1.1,22743
2.7.1.1,16125
2.7.1.1,16126
2.7.1.1,16127
2.7.1.1,16128
2.7.1.1,17825
2.7.1.1,17826
2.7.1.1,17827
2.7.1.1,17828
2.7.1.8,10948
2.7.1.8,10949
2.7.1.8,10950
2.7.1.8,10951
2.3.1.106,10952
2.3.1.106,10953
2.3.1.106,10954
2.3.1.106,10955
1.14.13.14,10956
1.14.13.14,10957
1.14.13.14,10958
1.14.13.14,10959
5.1.2.1,10960
5.1.2.1,10961
5.1.2.1,10962
5.1.2.1,10963
2.7.1.17,10964
2.7.1.17,10965
2.7.1.17,10966
2.7.1.17,10967
6.2.1.10,10968
6.2.1.10,10969
6.2.1.10,10970
6.2.1.10,10971
2.7.1.62,10972
2.7.1.62,10973
2.7.1.62,10974
2.7.1.62,10975
1.14.12.16,10976
1.14.12.16,10977
1.14.12.16,10978
1.14.12.16,10979
5.1.1.18,10980
5.1.1.18,10981
5.1.1.18,10982
5.1.1.18,10983
1.1.99.7,10984
1.1.99.7,10985
1.1.99.7,10986
1.1.99.7,10987
1.1.1.79,10992
1.1.1.79,10993
1.1.1.79,10994
1.1.1.79,10995
2.1.1.91,10996
2.1.1.91,10997
2.1.1.91,10998
2.1.1.91,10999
3.5.1.77,11000
3.5.1.77,11001
3.5.1.77,11002
3.5.1.77,11003
1.14.13.1,11004
1.14.13.1,11005
1.14.13.1,11006
1.14.13.1,11007
3.5.1.57,11012
3.5.1.57,11013
3.5.1.57,11014
3.5.1.57,11015
3.5.3.4,11016
3.5.3.4,11017
