bigg_id,rhea
IGPDH,11042
IGPDH,11043
IGPS,23476
IGPS,23477
IGPS,23478
IGPS,23479
ILETA,24801
ILETA,24802
ILETA,24803
ILETA,24804
IMPD,11708
IMPD,11709
IMPD,11710
IMPD,11711
INDOLEt2pp,29227
INDOLEt2pp,29228
INDOLEt2pp,29229
INDOLEt2pp,29230
INSK,21140
INSK,21141
INSK,21142
INSK,21143
IPMD,10892
IPMD,10893
IPMD,10894
IPMD,10895
IPPMIa,10676
IPPMIa,10677
IPPMIa,10678
IPPMIa,10679
IPPMIb,16293
IPPMIb,16294
IPPMIb,16295
IPPMIb,16296
IPPS,21524
IPPS,21525
IPPS,21526
IPPS,21527
KARA2,13493
KARA2,13494
KARA2,13495
KARA2,13496
KDOPP,11500
KDOPP,11501
KDOPP,11502
KDOPP,11503
Kabcpp,16777
Kabcpp,16778
Kabcpp,16779
Kabcpp,16780
Kt2pp,28490
Kt2pp,28491
Kt2pp,28492
Kt2pp,28493
Kt3pp,29467
Kt3pp,29468
Kt3pp,29469
Kt3pp,29470
Ktex,29463
Ktex,29464
Ktex,29465
Ktex,29466
LACZ,10076
LACZ,10077
LACZ,10078
LACZ,10079
LALALGLUtex,35135
LALALGLUtex,35136
LALALGLUtex,35137
LALALGLUtex,35138
LALALGLUtpp,35131
LALALGLUtpp,35132
LALALGLUtpp,35133
LALALGLUtpp,35134
LALDO3,21748
LALDO3,21749
LALDO3,21750
LALDO3,21751
LALGP,29335
LALGP,29336
LALGP,29337
LALGP,29338
LCADi,14277
LCADi,14278
LCADi,14279
LCADi,14280
LCTSt3ipp,28863
LCTSt3ipp,28864
LCTSt3ipp,28865
LCTSt3ipp,28866
LCTStpp,28867
LCTStpp,28868
LCTStpp,28869
