rhea,rheaDir,metacyc
21248,21248,METACYC:RNA-DIRECTED-RNA-POLYMERASE-RXN
21268,21268,METACYC:1.5.1.31-RXN
21288,21288,METACYC:2.7.1.142-RXN
21312,21312,METACYC:GENTISATE-DECARBOXYLASE-RXN
21332,21332,METACYC:GLUCOSAMINE-N-ACETYLTRANSFERASE-RXN
21348,21348,METACYC:RXN-15677
21356,21356,METACYC:1.1.1.13-RXN
21372,21372,METACYC:URETHANASE-RXN
21388,21388,METACYC:L-LYSINE-LACTAMASE-RXN
21400,21400,METACYC:OXOGLUTARATE-DEHYDROGENASE-NADP%252b-RXN
21420,21420,METACYC:1.1.1.231-RXN
21444,21444,METACYC:COUMARATE-REDUCTASE-RXN
21504,21504,METACYC:2.2.1.4-RXN
21516,21516,METACYC:ISOPIPERITENONE-DELTA-ISOMERASE-RXN
21520,21520,METACYC:FORMATE-DEHYDROGENASE-CYTOCHROME-RXN
21544,21544,METACYC:FARNESYL-DIPHOSPHATE-KINASE-RXN
21584,21584,METACYC:PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN
21676,21676,METACYC:2.5.1.69-RXN
21780,21780,METACYC:CYCLOHEXANONE-DEHYDROGENASE-RXN
21808,21808,METACYC:25-DIOXOPIPERAZINE-HYDROLASE-RXN
21848,21848,METACYC:FURYLFURAMIDE-ISOMERASE-RXN
21876,21876,METACYC:1.1.1.199-RXN
21984,21984,METACYC:CHOLINE-SULFOTRANSFERASE-RXN
21996,21996,METACYC:2.3.1.125-RXN
22040,22040,METACYC:FORMYLASPARTATE-DEFORMYLASE-RXN
22056,22056,METACYC:HEXADECANOL-DEHYDROGENASE-RXN
22100,22100,METACYC:3.5.5.6-RXN
22112,22112,METACYC:RXN-15245
22184,22184,METACYC:1.10.1.1-RXN
22212,22212,METACYC:TARTRATE-EPIMERASE-RXN
22244,22244,METACYC:RXN-14702
22248,22248,METACYC:1.3.1.18-RXN
22276,22276,METACYC:2-OXOALDEHYDE-DEHYDROGENASE-NAD%2B-RXN
22320,22320,METACYC:MALTOSE-SYNTHASE-RXN
22440,22440,METACYC:2.7.8.18-RXN
22476,22476,METACYC:1.7.1.9-RXN
22480,22480,METACYC:1.7.1.9-RXN
22508,22508,METACYC:DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN
22656,22656,METACYC:SERINE-PHOSPHOETHANOLAMINE-SYNTHASE-RXN
22768,22768,METACYC:3-KETOVALIDOXYLAMINE-C-N-LYASE-RXN
22796,22796,METACYC:HAMAMELOSE-KINASE-RXN
22804,22804,METACYC:VOMIFOLIOL-4-DEHYDROGENASE-RXN
22868,22868,METACYC:S-CARBOXYMETHYLCYSTEINE-SYNTHASE-RXN
22980,22980,METACYC:RXN-16761
23000,23000,METACYC:PANTOATE-4-DEHYDROGENASE-RXN
23024,23024,METACYC:CELLODEXTRIN-PHOSPHORYLASE-RXN
23040,23040,METACYC:2-ETHYLMALATE-SYNTHASE-RXN
23088,23088,METACYC:ALKYLGLYCERONE-KINASE-RXN
23144,23144,METACYC:N-ACETYLHEXOSAMINE-1-DEHYDROGENASE-RXN
23168,23168,METACYC:8-OXOCOFORMYCIN-REDUCTASE-RXN
23268,23268,METACYC:GUANIDINOACETASE-RXN
23276,23276,METACYC:KETOPANTOALDOLASE-RXN
23280,23280,METACYC:THIOETHANOLAMINE-S-ACETYLTRANSFERASE-RXN
23320,23320,METACYC:D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN
23332,23332,METACYC:PHOSPHOGLYCERATE-KINASE-GTP-RXN
23340,23340,METACYC:4.1.2.23-RXN
23376,23376,METACYC:L-THREONATE-3-DEHYDROGENASE-RXN
23492,23492,METACYC:UDP-GLUCOSAMINE-EPIMERASE-RXN
23496,23496,METACYC:5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN
23524,23524,METACYC:2.3.1.152-RXN
23536,23536,METACYC:RXN-16999
23612,23612,METACYC:ALPHA-SANTONIN-12-REDUCTASE-RXN
23616,23616,METACYC:ALPHA-SANTONIN-12-REDUCTASE-RXN
23648,23648,METACYC:1.1.1.134-RXN
23648,23648,METACYC:RXN-14184
23712,23712,METACYC:1.1.1.151-RXN
23868,23868,METACYC:4.1.3.35-RXN
23876,23876,METACYC:4.2.1.73-RXN
23892,23892,METACYC:BETA-NITROACRYLATE-REDUCTASE-RXN
23992,23992,METACYC:2.3.1.63-RXN
24008,24008,METACYC:HYPOTAUROCYAMINE-KINASE-RXN
24032,24032,METACYC:ISOMALTULOSE-SYNTHASE-RXN
24108,24108,METACYC:N-METHYL-2-OXOGLUTARAMATE-HYDROLASE-RXN
24224,24224,METACYC:1.3.1.67-RXN
24228,24228,METACYC:1.3.1.67-RXN
24268,24268,METACYC:1.3.1.40-RXN
24276,24276,METACYC:ACETATE-KINASE-PYROPHOSPHATE-RXN
24352,24352,METACYC:1.2.1.55-RXN
24356,24356,METACYC:LYSOLECITHIN-ACYLMUTASE-RXN
24476,24476,METACYC:3.5.2.16-RXN
24484,24484,METACYC:1.1.1.260-RXN
24516,24516,METACYC:GENTAMICIN-2-N-ACETYLTRANSFERASE-RXN
24548,24548,METACYC:ACYL-LYSINE-DEACYLASE-RXN
24588,24588,METACYC:D-ARABINOKINASE-RXN
24760,24760,METACYC:4.3.1.22-RXN
25261,25261,METACYC:RXN-14103
25379,25379,METACYC:RXN-14105
25670,25670,METACYC:RXN-9934
25884,25884,METACYC:RXN-9778
25924,25924,METACYC:RXN-14154
25964,25964,METACYC:RXN-12897
27298,27298,METACYC:RXN-11184
27934,27934,METACYC:3-HYDROXYASPARTATE-ALDOLASE-RXN
27938,27938,METACYC:RXN-11768
30695,30695,METACYC:RXN-12332
30803,30803,METACYC:RXN-14209
31891,31891,METACYC:RXN-14054
32255,32255,METACYC:RXN-14246
32331,32331,METACYC:RXN-12955
32335,32335,METACYC:RXN-12955
32339,32339,METACYC:RXN-12956
32655,32655,METACYC:RXN-12939
34527,34527,METACYC:RXN-13649
34555,34555,METACYC:RXN-15632
42768,42768,METACYC:RXN-15632
35443,35443,METACYC:RXN-13975
35579,35579,METACYC:RXN-14355
35623,35623,METACYC:D-GLUTAMYLTRANSFERASE-RXN
35643,35643,METACYC:RXN-14183
38027,38027,METACYC:RXN-16745
38611,38611,METACYC:RXN-13872
39903,39903,METACYC:RXN-15247
40987,40987,METACYC:RXN-17509
41404,41404,METACYC:RXN-15301
42764,42764,METACYC:RXN-15617
42840,42840,METACYC:RXN-15689
43028,43028,METACYC:RXN-15583
44356,44356,METACYC:RXN-16288
45116,45116,METACYC:RXN-15051
45120,45120,METACYC:RXN-15051
45336,45336,METACYC:RXN-16481
46188,46188,METACYC:3.5.5.7-RXN
46396,46396,METACYC:RXN-16428
46768,46768,METACYC:RXN-16382
46768,46768,METACYC:RXN-16388
46772,46772,METACYC:RXN-16387
46952,46952,METACYC:RXN-16835
48116,48116,METACYC:RXN-16890
49072,49072,METACYC:RXN-17496
49488,49488,METACYC:RXN-17514
50340,50340,METACYC:RXN-17520
52020,52020,METACYC:RXN66-547
54184,54184,METACYC:RXN-13683
54912,54912,METACYC:RXN-13363
56312,56312,METACYC:RXN-10976
56588,56588,METACYC:RXN-11731
57000,57000,METACYC:RXN-11752
57708,57708,METACYC:RXN-91
57776,57776,METACYC:RXN-16803
57780,57780,METACYC:RXN-16802
57784,57784,METACYC:RXN-16801
57788,57788,METACYC:RXN-16800
57792,57792,METACYC:RXN-16799
57796,57796,METACYC:RXN-16798
57800,57800,METACYC:RXN-16796
57804,57804,METACYC:RXN-16795
57808,57808,METACYC:RXN-16794
58020,58020,METACYC:RXN-20053
62136,62136,METACYC:RXN-17140
62140,62140,METACYC:RXN-17141
63456,63456,METACYC:RXN-11629
63688,63688,METACYC:RXN-10957
64656,64656,METACYC:RXN-1124
64820,64820,METACYC:RXN-12492
64940,64940,METACYC:RXN-14218
64960,64960,METACYC:RXN-14213
64972,64972,METACYC:RXN-14220
67712,67712,METACYC:RXN-13430
67916,67916,METACYC:RXN-12584
68100,68100,METACYC:RXN-11825
68108,68108,METACYC:RXN-11826
68796,68796,METACYC:RXN-15910
69320,69320,METACYC:RXN-18222
69735,69735,METACYC:RXN-22823
70571,70571,METACYC:RXN-22596
70603,70603,METACYC:RXN-9837
73959,73959,METACYC:RXN-9836
75407,75407,METACYC:RXN-16610
79699,79699,METACYC:RXN-10975
79723,79723,METACYC:RXN-10977
10000,10001,METACYC:PENTANAMIDASE-RXN
10012,10013,METACYC:R-6-HYDROXYNICOTINE-OXIDASE-RXN
10016,10017,METACYC:SINAPINE-ESTERASE-RXN
10020,10022,METACYC:RXN3O-127
10028,10029,METACYC:D-GLUTAMATE-OXIDASE-RXN
10032,10033,METACYC:PEPTIDYL-GLUTAMINASE-RXN
10036,10037,METACYC:1.1.3.38-RXN
10040,10041,METACYC:325-BISPHOSPHATE-NUCLEOTIDASE-RXN
10044,10045,METACYC:CYCLOHEXANOL-DEHYDROGENASE-RXN
10048,10049,METACYC:O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
10052,10054,METACYC:RXN-16245
10068,10069,METACYC:RXN-18017
10072,10073,METACYC:RXN-9680
10076,10077,METACYC:BETAGALACTOSID-RXN
28659,28660,METACYC:BETAGALACTOSID-RXN
10084,10085,METACYC:PROTOCATECHUATE-34-DIOXYGENASE-RXN
10092,10093,METACYC:DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN
10096,10097,METACYC:2.3.1.184-RXN
10100,10101,METACYC:STEROL-ESTERASE-RXN
10104,10105,METACYC:RXN1F-170
10116,10117,METACYC:6PGLUCONDEHYDROG-RXN
33023,33024,METACYC:6PGLUCONDEHYDROG-RXN
10116,10117,METACYC:RXN-9952
10120,10121,METACYC:AMINOCYL-TRNA-HYDROLASE-RXN
54448,54449,METACYC:AMINOCYL-TRNA-HYDROLASE-RXN
10124,10125,METACYC:1.14.13.92-RXN
10128,10129,METACYC:RXN1F-155
10132,10133,METACYC:BENZOATE--COA-LIGASE-RXN
10136,10137,METACYC:GLYOCARBOLIG-RXN
10140,10142,METACYC:1.1.1.188-RXN
10144,10145,METACYC:3-NUCLEOTID-RXN
10156,10157,METACYC:1.14.13.57-RXN
10168,10170,METACYC:1.3.7.2-RXN
10172,10173,METACYC:HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN
10176,10178,METACYC:RXN-17529
10184,10185,METACYC:3-OXOADIPATE-ENOL-LACTONASE-RXN
10192,10193,METACYC:ABC-70-RXN
10196,10197,METACYC:O-SUCCINYLBENZOATE-COA-SYN-RXN
10220,10221,METACYC:TYROSINE--TRNA-LIGASE-RXN
10224,10225,METACYC:PYRIDOXKIN-RXN
10236,10237,METACYC:2.4.1.114-RXN
10240,10242,METACYC:ENOYL-ACP-REDUCT-NADH-RXN
10244,10245,METACYC:FUMARYLACETOACETASE-RXN
10248,10249,METACYC:DUTP-PYROP-RXN
10256,10257,METACYC:2.7.9.5-RXN
10260,10261,METACYC:TRANS-RXN-250
10268,10269,METACYC:4.1.2.20-RXN
10276,10277,METACYC:2.7.4.24-RXN
10280,10281,METACYC:RXN-7601
10288,10289,METACYC:L-RHAMNONO-14-LACTONASE-RXN
10292,10293,METACYC:GLUCOSAMINEPNACETYLTRANS-RXN
10296,10298,METACYC:1.2.1.13-RXN
10312,10313,METACYC:1.14.12.15-RXN
10316,10317,METACYC:THYMINE-DIOXYGENASE-RXN
10320,10321,METACYC:TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN
10340,10341,METACYC:RXN-4823
10348,10349,METACYC:5-OXOPROLINASE-ATP-HYDROLYSING-RXN
10360,10361,METACYC:DIHYDROCOUMARIN-LIPASE-RXN
10376,10377,METACYC:TRANS-RXN-178
10384,10385,METACYC:RXN-15812
10396,10397,METACYC:L-AMINO-ACID-DEHYDROGENASE-RXN
