Gene,Name
PN96_RS21195,fruB
PN96_RS21200,fruK
PN96_RS21205,fruA
PN96_RS21230,gcvT
PN96_RS21240,glyA
PN96_RS21250,gcvP
PN96_RS21300,ilvE
PN96_RS21315,sdaC
PN96_RS21360,dxs
PN96_RS21365,dxs
PN96_RS21370,sucB
PN96_RS21410,acs
PN96_RS21415,pdhA
PN96_RS21420,aceF
PN96_RS21430,ppsA
PN96_RS21445,fdhF
PN96_RS21490,yidK
PN96_RS21595,yaaJ
PN96_RS21600,artM
PN96_RS21605,artQ
PN96_RS21610,artI
PN96_RS21615,artP
PN96_RS21625,katG
PN96_RS21635,surE
PN96_RS21655,ydgI
PN96_RS21680,betT
PN96_RS21705,cyoE
PN96_RS21710,cyoD
PN96_RS21715,cyoC
PN96_RS21720,cyoB
PN96_RS21725,cyoA
PN96_RS21730,ygfF
PN96_RS21755,aldA
PN96_RS21785,leuA
PN96_RS21805,ackA
PN96_RS21820,yiaY
PN96_RS21825,fucA
PN96_RS21830,fucK
PN96_RS21835,fucI
PN96_RS21960,gnd
PN96_RS21965,zwf
PN96_RS21980,gabT
PN96_RS21990,puuP
PN96_RS22015,frmA
PN96_RS22035,puuP
PN96_RS22095,lpdA
PN96_RS22110,allK
PN96_RS22165,tadA
PN96_RS22170,ybbW
PN96_RS22190,yiaN
PN96_RS22200,yiaO
PN96_RS22225,pdxY
PN96_RS22305,eutD
PN96_RS22320,yiaN
PN96_RS22325,yiaM
PN96_RS22330,yiaO
PN96_RS22355,ilvI
PN96_RS22370,hxpB
PN96_RS22380,xylB
PN96_RS22385,uxuB
PN96_RS22415,malY
PN96_RS22435,galK
PN96_RS22440,galT
PN96_RS22445,galE
PN96_RS22450,yahK
PN96_RS22460,sdaB
PN96_RS22465,purU
PN96_RS22475,gcvT
PN96_RS22485,dadA
PN96_RS22490,glyA
PN96_RS22505,puuE
PN96_RS22515,yiaN
PN96_RS22525,yiaO
PN96_RS22530,gabD
PN96_RS22605,atpG
PN96_RS22610,atpA
PN96_RS22625,atpB
PN96_RS22640,atpD
PN96_RS22655,betT
PN96_RS22700,yiaY
PN96_RS22705,glk
PN96_RS22760,trpB
PN96_RS22795,acs
PN96_RS22825,yiaY
PN96_RS22915,cyoE
PN96_RS22940,cyoC
PN96_RS22950,cyoB
PN96_RS22955,cyoA
PN96_RS22965,leuE
PN96_RS22975,ygaZ
PN96_RS23050,tyrP
PN96_RS23110,fdhF
PN96_RS23155,speG
PN96_RS23200,yqhD
PN96_RS23205,solA
PN96_RS23215,puuE
PN96_RS23220,gabD
PN96_RS23225,yiaO
PN96_RS23235,yiaN
PN96_RS23260,alr
PN96_RS23270,ycjG
PN96_RS23275,ilvE
PN96_RS23300,ybdR
PN96_RS23385,nadE
PN96_RS23400,pyrC
PN96_RS23515,yiaM
PN96_RS23520,yiaN
PN96_RS23535,tyrB
PN96_RS23610,betT
PN96_RS00590,arcA
PN96_RS05305,ectC
PN96_RS20950,fabV
PN96_RS18765,aroQ
PN96_RS07515,fabV
PN96_RS02000,dapD
PN96_RS21130,fhs
PN96_RS06275,ureA
PN96_RS19075,nadE
PN96_RS07375,purC
PN96_RS06270,ureB
PN96_RS05295,ectA
PN96_RS17400,fni
PN96_RS05090,aguA
PN96_RS01235,oadG
PN96_RS06265,ureC
PN96_RS22615,atpF
PN96_RS19440,nifH
PN96_RS02155,nqrC
PN96_RS02145,nqrA
PN96_RS16045,ectC
PN96_RS07305,hutI
PN96_RS14405,aroQ
PN96_RS17870,hutU
PN96_RS22620,atpE
PN96_RS07920,xxx
PN96_RS17895,doeB
PN96_RS19810,xxx
PN96_RS22470,soxG
PN96_RS03740,ccoP
PN96_RS22375,xxx
PN96_RS06770,hgmA
PN96_RS11275,cobD
PN96_RS22945,cox11
PN96_RS15955,xxx
PN96_RS01245,oadB
PN96_RS08130,mdcA
PN96_RS06415,ygeA
PN96_RS19875,pycR
PN96_RS06765,amnF
PN96_RS19360,xxx
PN96_RS18980,madM
PN96_RS19825,proX
PN96_RS11450,petA
PN96_RS05680,gdhB
PN96_RS19245,xxx
PN96_RS05400,tctA
PN96_RS05825,ccoQ
PN96_RS01515,chbP
PN96_RS19180,xxx
PN96_RS11440,petC
PN96_RS04845,xxx
PN96_RS01525,gspK
PN96_RS15570,ca
PN96_RS11055,nptA
PN96_RS17815,xxx
PN96_RS11740,xxx
PN96_RS04960,glx
PN96_RS17715,xxx
PN96_RS05845,ccoS
PN96_RS06705,arg1
PN96_RS17865,hutH
PN96_RS10500,xxx
PN96_RS05820,ccoO
PN96_RS03215,nhaC
PN96_RS03265,xxx
PN96_RS22920,ctaA
PN96_RS22195,dctQ
PN96_RS23380,nadD
PN96_RS06670,arg2
PN96_RS18850,dctQ
PN96_RS22790,phhA
PN96_RS11445,petB
PN96_RS16825,glx1
PN96_RS11870,xxx
PN96_RS18645,arcB
PN96_RS09145,xxx
PN96_RS05830,ccoP
PN96_RS22480,soxD
PN96_RS22630,xxx
PN96_RS23510,dctP
PN96_RS18975,madL
PN96_RS23230,dctQ
PN96_RS06400,ami
PN96_RS22520,dctQ
PN96_RS06730,chdh
PN96_RS10565,xxx
PN96_RS03425,xxx
PN96_RS18650,xxx
PN96_RS22635,atpE
PN96_RS10785,xxx
PN96_RS07250,levB
PN96_RS17315,xxx
PN96_RS18900,dctP
PN96_RS10460,xxx
PN96_RS16655,nhaD
PN96_RS05815,cox1
PN96_RS03430,xxx
PN96_RS05055,xxx
PN96_RS20670,hmgA
PN96_RS01495,fbpA
PN96_RS06735,xxx
PN96_RS18895,dctQ
PN96_RS20430,dctQ
PN96_RS04070,xxx
PN96_RS07785,ppaC
PN96_RS21510,xxx
PN96_RS04195,dctQ
PN96_RS19835,xxx
PN96_RS22785,phhB
PN96_RS05410,tctC
PN96_RS04075,nspC
PN96_RS19565,dctQ
PN96_RS19445,xxx
PN96_RS23265,xxx
PN96_RS08465,icd
PN96_RS19450,xxx
PN96_RS06775,hppD
