Protein,Stoichiometry,Isozyme,Rhea
PN96_RS13750,2,A,19317
PN96_RS10215,1,A,19361
PN96_RS12615,12,A,19397
PN96_RS13240,1,A,19433
PN96_RS19555,1,B,19433
PN96_RS18955,1,A,19481
PN96_RS07490,1,A,19497
PN96_RS00585,3,A,19513
PN96_RS17910,1,A,19537
PN96_RS22370,1,B,19537
PN96_RS10265,2,A,19541
PN96_RS15970,4,A,19553
PN96_RS00590,1,A,19597
PN96_RS20485,4,A,19625
PN96_RS11675,1,A,19661
PN96_RS10480,1,A,19689
PN96_RS12585,6,A,19801
PN96_RS14985,4,A,19821
PN96_RS09315,6,A,19833
PN96_RS22465,6,B,19833
PN96_RS00140,2,A,19865
PN96_RS01645,2,A,19949
PN96_RS16730,1,A,19981
PN96_RS22015,1,B,19981
PN96_RS16730,1,A,19985
PN96_RS22015,1,B,19985
PN96_RS05650,1,A,19993
PN96_RS07870,1,A,20049
PN96_RS10470,1,A,20117
PN96_RS21130,1,A,20221
PN96_RS23260,1,B,20249
PN96_RS15120,1,A,20249
PN96_RS22790,1,A,20273
PN96_RS21625,4,A,20309
PN96_RS07425,1,A,20345
PN96_RS05445,1,A,20373
PN96_RS14975,4,A,20397
PN96_RS04245,2,A,20445
PN96_RS23535,2,B,20445
PN96_RS12320,1,A,20517
PN96_RS03740,1,A,20549
PN96_RS06670,1,A,20569
PN96_RS06705,1,B,20569
PN96_RS17240,6,A,20605
PN96_RS08610,1,A,20700
PN96_RS08010,2,A,20712
PN96_RS15595,2,A,20736
PN96_RS12730,4,A,20780
PN96_RS19190,1,B,20956
PN96_RS18960,1,A,20956
PN96_RS03100,4,A,21016
PN96_RS02880,4,A,21020
PN96_RS18290,1,A,21036
PN96_RS14405,12,A,21096
PN96_RS18765,12,B,21096
PN96_RS07930,1,A,21140
PN96_RS21125,1,B,21140
PN96_RS19825,1,A,21152
PN96_RS19260,1,B,21196
PN96_RS03895,1,A,21196
PN96_RS01795,1,A,21208
PN96_RS17865,1,A,21232
PN96_RS08425,1,A,21256
PN96_RS23380,1,A,21360
PN96_RS11855,2,A,21432
PN96_RS11755,2,A,21524
PN96_RS19870,2,B,21524
PN96_RS03960,1,A,21540
PN96_RS15005,1,A,21588
PN96_RS13990,1,A,21620
PN96_RS15765,2,A,21624
PN96_RS01980,4,A,21644
PN96_RS13620,1,B,21648
PN96_RS10930,2,A,21648
PN96_RS20755,1,A,21824
PN96_RS10255,2,A,21868
PN96_RS11275,1,A,21896
PN96_RS15070,1,A,21968
PN96_RS05150,2,A,22008
PN96_RS08015,2,A,22060
PN96_RS13345,4,A,22068
PN96_RS16250,1,A,22072
PN96_RS01090,1,A,22088
PN96_RS13635,4,A,22108
PN96_RS01460,1,A,22144
PN96_RS00180,1,A,22192
PN96_RS05085,1,A,22284
PN96_RS16255,1,A,22368
PN96_RS10215,1,A,22408
PN96_RS00060,1,A,22472
PN96_RS07310,1,A,22492
PN96_RS06350,1,A,22580
PN96_RS09510,1,A,22584
PN96_RS02545,2,A,22608
PN96_RS06340,1,A,22624
PN96_RS07375,3,A,22628
PN96_RS01095,1,A,22636
PN96_RS02365,1,A,22668
PN96_RS06915,1,A,22712
PN96_RS18780,1,A,22748
PN96_RS09240,2,A,22812
PN96_RS16680,1,A,22824
PN96_RS07870,1,A,22828
PN96_RS00810,1,A,22840
PN96_RS00280,1,A,22852
PN96_RS23380,1,A,22860
PN96_RS09035,2,A,22912
PN96_RS13470,2,B,22912
PN96_RS18360,1,A,22924
PN96_RS09480,4,A,22936
PN96_RS16035,1,A,22964
PN96_RS04860,1,A,22988
PN96_RS16020,1,B,22988
PN96_RS19315,1,C,22988
PN96_RS21755,1,D,22988
PN96_RS04860,1,A,22992
PN96_RS16020,1,B,22992
PN96_RS19315,1,C,22992
PN96_RS21755,1,D,22992
PN96_RS02465,2,A,23032
PN96_RS09515,1,A,23100
PN96_RS00515,1,A,23104
PN96_RS03415,2,A,23148
PN96_RS21805,2,B,23148
PN96_RS10475,1,A,23160
PN96_RS20770,1,A,23256
PN96_RS17400,8,A,23284
PN96_RS22505,1,C,23352
PN96_RS23215,1,D,23352
PN96_RS05100,1,A,23352
PN96_RS17305,1,B,23352
PN96_RS11350,1,A,23372
PN96_RS01650,1,A,23424
PN96_RS17015,4,A,23444
PN96_RS08600,1,A,23448
PN96_RS03960,1,A,23476
PN96_RS20295,1,A,23520
PN96_RS09435,1,A,23536
PN96_RS06920,1,A,23560
PN96_RS02975,1,A,23584
PN96_RS22450,1,A,23592
PN96_RS07305,1,A,23660
PN96_RS11380,1,A,23676
PN96_RS18020,1,A,23688
PN96_RS09240,2,A,23700
PN96_RS10245,2,B,23704
PN96_RS04140,2,A,23704
PN96_RS17810,1,A,23736
PN96_RS07895,2,A,23744
PN96_RS17785,2,B,23744
PN96_RS05310,2,C,23776
PN96_RS01175,2,B,23776
PN96_RS00270,2,A,23776
PN96_RS14980,4,E,23776
PN96_RS11205,4,D,23776
PN96_RS05430,2,A,23780
PN96_RS16400,2,A,23784
PN96_RS19745,2,B,23784
PN96_RS03150,1,A,23800
PN96_RS01120,3,A,23864
PN96_RS07950,4,A,23920
PN96_RS15020,1,A,24020
PN96_RS12480,1,B,24152
PN96_RS11975,1,A,24152
PN96_RS22355,1,A,24204
PN96_RS00280,1,A,24248
PN96_RS03220,2,B,24284
PN96_RS02955,2,A,24284
PN96_RS23400,2,A,24296
PN96_RS05600,1,A,24360
PN96_RS11995,1,B,24360
PN96_RS18645,1,A,24368
PN96_RS16680,1,A,24388
PN96_RS19280,1,A,24404
PN96_RS21785,1,B,24404
PN96_RS12955,1,A,24408
PN96_RS11010,2,A,24488
PN96_RS14615,6,A,24560
PN96_RS03490,4,A,24674
PN96_RS21300,6,A,24801
PN96_RS13640,2,A,24809
PN96_RS21300,6,A,24813
PN96_RS11010,2,A,24825
PN96_RS10905,2,A,24869
PN96_RS16400,2,A,24882
PN96_RS19745,2,B,24882
PN96_RS07710,4,A,24927
PN96_RS22415,2,B,24927
PN96_RS07710,4,A,24931
PN96_RS22415,2,B,24931
PN96_RS06360,4,A,25054
PN96_RS06545,1,A,25066
PN96_RS03665,1,A,25094
PN96_RS15860,2,A,25104
PN96_RS22225,2,B,25104
PN96_RS15860,2,A,25108
PN96_RS22225,2,B,25108
PN96_RS04245,2,A,25152
PN96_RS23535,2,B,25152
PN96_RS23155,12,A,25181
PN96_RS14090,1,A,25197
PN96_RS11330,1,A,25209
PN96_RS07855,1,A,25213
PN96_RS10630,4,A,25237
PN96_RS02415,1,A,25245
PN96_RS04800,1,B,25290
PN96_RS03235,1,A,25290
PN96_RS23200,1,F,25290
PN96_RS22825,1,E,25290
PN96_RS16730,1,G,25290
PN96_RS04850,1,H,25290
PN96_RS21820,1,I,25290
PN96_RS22450,1,D,25290
PN96_RS22700,1,C,25290
PN96_RS19780,1,A,25294
PN96_RS05385,4,A,25298
PN96_RS20200,1,A,25302
PN96_RS01385,1,A,25424
PN96_RS08465,2,A,25588
PN96_RS04245,2,A,25796
PN96_RS23535,2,B,25796
PN96_RS01015,1,A,25876
PN96_RS08220,1,A,25888
PN96_RS10615,1,A,26119
PN96_RS10240,60,A,26152
PN96_RS20485,4,A,26209
PN96_RS17815,1,A,26301
PN96_RS01100,4,A,26426
PN96_RS05435,1,A,26522
PN96_RS18935,1,A,26558
PN96_RS01465,1,A,27377
PN96_RS16860,1,B,27377
PN96_RS06385,1,A,27485
PN96_RS02320,2,A,27551
PN96_RS00910,1,A,27626
PN96_RS18410,1,B,27626
PN96_RS01785,6,A,27638
PN96_RS16680,1,C,27638
PN96_RS15460,6,B,27638
PN96_RS01785,6,A,27642
PN96_RS15460,6,B,27642
PN96_RS01785,6,A,27646
PN96_RS16680,1,C,27646
PN96_RS15460,6,B,27646
PN96_RS03490,4,A,27650
PN96_RS01780,1,A,27658
PN96_RS10630,4,A,27674
PN96_RS10630,4,A,27678
PN96_RS10630,4,A,27682
PN96_RS10630,4,A,27686
PN96_RS10630,4,A,27690
PN96_RS13640,2,A,27694
PN96_RS07930,1,A,27710
PN96_RS21125,1,B,27710
PN96_RS07630,1,D,27714
PN96_RS09825,1,A,27714
PN96_RS21040,1,B,27714
PN96_RS01130,1,C,27714
PN96_RS21635,1,E,27714
PN96_RS07630,1,D,27718
PN96_RS09825,1,A,27718
PN96_RS21040,1,B,27718
PN96_RS01130,1,C,27718
PN96_RS21635,1,E,27718
PN96_RS01785,6,A,27738
PN96_RS15460,6,B,27738
PN96_RS01785,6,A,27742
PN96_RS15460,6,B,27742
PN96_RS01785,6,A,27750
PN96_RS15460,6,B,27750
PN96_RS01375,2,A,27758
PN96_RS21230,1,B,27758
PN96_RS21250,1,C,27758
PN96_RS22095,2,D,27758
PN96_RS01095,2,A,27762
PN96_RS10515,1,A,27822
PN96_RS14975,4,A,27826
PN96_RS06365,1,A,27846
PN96_RS12000,1,A,27858
PN96_RS12000,1,A,27862
PN96_RS12000,1,A,27878
PN96_RS12000,1,A,27882
PN96_RS12000,1,A,27886
PN96_RS12000,1,A,27890
PN96_RS12000,1,A,27894
PN96_RS12000,1,A,27898
PN96_RS03410,6,A,28046
PN96_RS22305,6,B,28046
PN96_RS08560,2,A,28054
PN96_RS12535,1,A,28062
PN96_RS12535,1,A,28066
PN96_RS21705,1,A,28070
PN96_RS22915,1,B,28070
PN96_RS11740,1,A,28094
PN96_RS03490,4,A,28162
PN96_RS12955,1,A,28190
PN96_RS07840,4,A,28206
PN96_RS10630,4,A,28330
PN96_RS10935,2,B,28330
PN96_RS00820,2,A,28342
PN96_RS02445,1,A,28354
PN96_RS02445,1,A,28358
PN96_RS00820,2,A,28362
PN96_RS14995,4,A,28370
PN96_RS11375,1,A,28374
PN96_RS11370,2,A,28386
PN96_RS10935,2,A,28406
PN96_RS05075,1,A,28410
PN96_RS19845,1,B,28410
PN96_RS05080,1,A,28414
PN96_RS08790,1,B,28414
PN96_RS12525,1,A,28438
PN96_RS05160,1,A,28442
PN96_RS12625,1,B,28442
PN96_RS07630,1,D,28530
PN96_RS09825,1,A,28530
PN96_RS21040,1,B,28530
PN96_RS01130,1,C,28530
PN96_RS21635,1,E,28530
PN96_RS01095,2,A,28534
PN96_RS10630,4,A,28582
PN96_RS00820,2,A,28610
PN96_RS16165,1,A,28659
PN96_RS16270,1,A,28675
PN96_RS00625,6,A,28783
PN96_RS05670,6,B,28783
PN96_RS10295,6,C,28783
PN96_RS10635,6,D,28783
PN96_RS06395,1,A,28807
PN96_RS13920,1,B,28807
PN96_RS07630,1,D,29355
PN96_RS09825,1,A,29355
PN96_RS21040,1,B,29355
PN96_RS01130,1,C,29355
PN96_RS21635,1,E,29355
PN96_RS07630,1,D,29359
PN96_RS09825,1,A,29359
PN96_RS21040,1,B,29359
PN96_RS01130,1,C,29359
PN96_RS21635,1,E,29359
PN96_RS07630,1,D,29363
PN96_RS09825,1,A,29363
PN96_RS21040,1,B,29363
PN96_RS01130,1,C,29363
PN96_RS21635,1,E,29363
PN96_RS07630,1,D,29367
PN96_RS09825,1,A,29367
PN96_RS21040,1,B,29367
