locustag,Desc
PN96_RS21375,etfdh
PN96_RS21385,glcR
PN96_RS21415,bkdA
PN96_RS21420,dlaT
PN96_RS21425,acpP
PN96_RS21430,pps
PN96_RS21455,pcaH
PN96_RS21460,aprE
PN96_RS21500,lacI
PN96_RS21575,mdo
PN96_RS21590,thpR
PN96_RS21600,artM
PN96_RS21605,artQ
PN96_RS21610,artI
PN96_RS21615,artP
PN96_RS21625,katG
PN96_RS21655,arcD
PN96_RS21665,nemA
PN96_RS21680,opuD
PN96_RS21685,dpeP
PN96_RS21690,xylA
PN96_RS21695,ridA
PN96_RS21710,cyoD
PN96_RS21715,cyoC
PN96_RS21720,cyoB
PN96_RS21725,cyoA
PN96_RS21730,fabG
PN96_RS21735,hibadh
PN96_RS21755,mmsA
PN96_RS21760,acaT
PN96_RS21770,ivd
PN96_RS21780,liuC
PN96_RS21785,hmgcl
PN96_RS21800,mcp
PN96_RS21805,ackA
PN96_RS21815,deaD
PN96_RS21825,fucA
PN96_RS21830,fucK
PN96_RS21835,fucI
PN96_RS21840,fucR
PN96_RS21845,mnhG
PN96_RS21850,mnhF
PN96_RS21855,mnhE
PN96_RS21860,mnhD
PN96_RS21865,mnhC
PN96_RS21870,mnhA
PN96_RS21885,rnb
PN96_RS21895,pstS
PN96_RS21915,int
PN96_RS21960,pgd
PN96_RS21970,mioC
PN96_RS21975,fpr
PN96_RS22015,frmA
PN96_RS22050,iolH
PN96_RS22065,trxB
PN96_RS22070,txn
PN96_RS22075,txn
PN96_RS22095,dld
PN96_RS22110,arcC
PN96_RS22130,pbuG
PN96_RS22155,cusR
PN96_RS22170,allP
PN96_RS22225,pdxK
PN96_RS22240,mscM
PN96_RS22245,linN
PN96_RS22250,mlaD
PN96_RS22255,mlaF
PN96_RS22260,mlaE
PN96_RS22305,pta
PN96_RS22315,cyc
PN96_RS22335,tauY
PN96_RS22340,tauX
PN96_RS22355,xsc
PN96_RS22360,cobS
PN96_RS22365,cobT
PN96_RS22370,hxpB
PN96_RS22380,xylB
PN96_RS22385,dalD
PN96_RS22415,patB
PN96_RS22435,galK
PN96_RS22440,galT
PN96_RS22445,galE
PN96_RS22450,yahK
PN96_RS22455,gbdR
PN96_RS22465,purU
PN96_RS22470,soxG
PN96_RS22475,soxA
PN96_RS22480,soxD
PN96_RS22485,soxB
PN96_RS22490,glyA
PN96_RS22495,gbcB
PN96_RS22500,gbcA
PN96_RS22505,gabT
PN96_RS22530,gabD
PN96_RS22535,bauR
PN96_RS22630,atpI
PN96_RS22660,etfB
PN96_RS22665,etfA
PN96_RS22670,dgcB
PN96_RS22675,dgcA
PN96_RS22685,dpeP
